location_name,latitude,longitude,total_pois,pois_fetched,ACCESS_GATEWAY,ADMINISTRATIVE_DIVISION,ADVENTURE_SPORTS_VENUE,AGRICULTURE,AIRPORT,AMUSEMENT_PARK,AUTOMOTIVE_DEALER,BANK,BEACH,BUILDING_POINT,BUSINESS_PARK,CAFE_PUB,CAMPING_GROUND,CAR_WASH,CASH_DISPENSER,CASINO,CINEMA,CITY_CENTER,CLUB_ASSOCIATION,COLLEGE_UNIVERSITY,COMMERCIAL_BUILDING,COMMUNITY_CENTER,COMPANY,COURTHOUSE,CULTURAL_CENTER,DENTIST,DEPARTMENT_STORE,DOCTOR,ELECTRIC_VEHICLE_STATION,EMBASSY,EMERGENCY_MEDICAL_SERVICE,ENTERTAINMENT,EXCHANGE,EXHIBITION_CONVENTION_CENTER,FERRY_TERMINAL,FIRE_STATION_BRIGADE,FRONTIER_CROSSING,FUEL_FACILITIES,GEOGRAPHIC_FEATURE,GOLF_COURSE,GOVERNMENT_OFFICE,HEALTH_CARE_SERVICE,HELIPAD_HELICOPTER_LANDING,HOLIDAY_RENTAL,HOSPITAL_POLYCLINIC,HOTEL_MOTEL,ICE_SKATING_RINK,IMPORTANT_TOURIST_ATTRACTION,INDUSTRIAL_BUILDING,LEISURE_CENTER,LIBRARY,MANUFACTURING_FACILITY,MARINA,MARKET,MEDIA_FACILITY,MILITARY_INSTALLATION,MOTORING_ORGANIZATION_OFFICE,MOUNTAIN_PASS,MUSEUM,NATIVE_RESERVATION,NIGHTLIFE,NON_GOVERNMENTAL_ORGANIZATION,OPEN_PARKING_AREA,OTHER,PARKING_GARAGE,PARK_RECREATION_AREA,PETROL_STATION,PHARMACY,PLACE_OF_WORSHIP,POLICE_STATION,PORT_WAREHOUSE_FACILITY,POST_OFFICE,PRIMARY_RESOURCE_UTILITY,PRISON_CORRECTIONAL_FACILITY,PUBLIC_AMENITY,PUBLIC_TRANSPORT_STOP,RAILWAY_STATION,RENT_A_CAR_FACILITY,RENT_A_CAR_PARKING,REPAIR_FACILITY,RESEARCH_FACILITY,RESIDENTIAL_ACCOMMODATION,RESTAURANT,RESTAURANT_AREA,REST_AREA,SCENIC_PANORAMIC_VIEW,SCHOOL,SHOP,SHOPPING_CENTER,SPORTS_CENTER,STADIUM,SWIMMING_POOL,TENNIS_COURT,THEATER,TOURIST_INFORMATION_OFFICE,TRAFFIC_LIGHT,TRAFFIC_SERVICE_CENTER,TRAFFIC_SIGN,TRAIL_SYSTEM,TRANSPORT_AUTHORITY_VEHICLE_REGISTRATION,TRUCK_STOP,VETERINARIAN,WATER_SPORT,WEIGH_STATION,WELFARE_ORGANIZATION,WINERY,ZOOS_ARBORETA_BOTANICAL_GARDEN,raw_classifications,unique_classifications,non_zero_categories
"Kothrud, Pune, Maharashtra",18.5010542,73.8116455,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"INDUSTRIAL_BUILDING, RESTAURANT, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SPORTS_CENTER, SCHOOL, SHOP, COMPANY, DOCTOR, EXHIBITION_CONVENTION_CENTER, PHARMACY",11,11
"Viman Nagar, Pune, Maharashtra",18.5411985,73.8024415,100,100,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,45,5,0,0,0,5,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"INDUSTRIAL_BUILDING, CAFE_PUB, RESTAURANT, BANK, RESIDENTIAL_ACCOMMODATION, PARK_RECREATION_AREA, PLACE_OF_WORSHIP, SCHOOL, SPORTS_CENTER, SHOP, MARKET, WELFARE_ORGANIZATION, GOVERNMENT_OFFICE, DOCTOR, PUBLIC_AMENITY, HOTEL_MOTEL, FIRE_STATION_BRIGADE, COMPANY",18,18
"Wakad, Pune, Maharashtra",18.5963419,73.7718897,100,100,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,18,15,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REPAIR_FACILITY, RESTAURANT, CAFE_PUB, BANK, RESIDENTIAL_ACCOMMODATION, SCHOOL, DENTIST, SHOP, COMMERCIAL_BUILDING, MARKET, DOCTOR, ENTERTAINMENT, COMPANY, PHARMACY",14,14
"Hinjewadi, Pune, Maharashtra",18.5979574,73.700786,93,93,0,0,0,0,0,0,3,2,0,0,1,9,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,6,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"INDUSTRIAL_BUILDING, REPAIR_FACILITY, CAFE_PUB, RESTAURANT, BANK, RESIDENTIAL_ACCOMMODATION, BUSINESS_PARK, SPORTS_CENTER, ELECTRIC_VEHICLE_STATION, AUTOMOTIVE_DEALER, HOTEL_MOTEL, COMPANY, PHARMACY",13,13
"Whitefield, Bangalore, Karnataka",12.9943542,77.7585209,100,100,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,2,0,0,0,0,0,0,2,0,0,4,0,4,10,0,0,0,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"INDUSTRIAL_BUILDING, HEALTH_CARE_SERVICE, BANK, SCHOOL, COMPANY, DOCTOR, PHARMACY, PARK_RECREATION_AREA, VETERINARIAN, HOTEL_MOTEL, GOVERNMENT_OFFICE, RAILWAY_STATION, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, COMMERCIAL_BUILDING, HOSPITAL_POLYCLINIC, GEOGRAPHIC_FEATURE, RESTAURANT, REPAIR_FACILITY, AUTOMOTIVE_DEALER, DENTIST, SHOP, OPEN_PARKING_AREA, POLICE_STATION",24,24
"Electronic City, Bangalore, Karnataka",12.8478071,77.6631929,100,100,0,0,0,0,0,0,0,4,0,0,1,6,0,0,0,0,0,0,0,1,1,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,3,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RESTAURANT, CAFE_PUB, BANK, PARKING_GARAGE, STADIUM, BUSINESS_PARK, PLACE_OF_WORSHIP, SCHOOL, SPORTS_CENTER, DENTIST, SHOP, COMMERCIAL_BUILDING, OPEN_PARKING_AREA, GOVERNMENT_OFFICE, COMPANY, HOTEL_MOTEL, HOSPITAL_POLYCLINIC, COLLEGE_UNIVERSITY",18,18
"Marathahalli, Bangalore, Karnataka",12.9545264,77.7027027,100,100,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,15,17,0,0,0,7,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REPAIR_FACILITY, RESTAURANT, CAFE_PUB, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SCHOOL, SPORTS_CENTER, AUTOMOTIVE_DEALER, DENTIST, SHOP, MARKET, GOVERNMENT_OFFICE, HOTEL_MOTEL, COMPANY, OPEN_PARKING_AREA, PHARMACY",16,16
"HSR Layout, Bangalore, Karnataka",12.9165423,77.6519551,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REPAIR_FACILITY, SHOPPING_CENTER, SHOP, COMMERCIAL_BUILDING, COMPANY, HOSPITAL_POLYCLINIC, PHARMACY, LEISURE_CENTER, EXCHANGE",9,9
"New Town, Kolkata, West Bengal",22.4761739,88.3478394,100,100,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,1,0,0,0,0,0,0,1,0,13,0,0,0,0,7,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POST_OFFICE, REPAIR_FACILITY, CAFE_PUB, BANK, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SCHOOL, SPORTS_CENTER, PRIMARY_RESOURCE_UTILITY, SHOP, GOVERNMENT_OFFICE, COMPANY, DOCTOR, LIBRARY, PHARMACY",15,15
"Howrah, West Bengal",22.5944824,88.265686,100,100,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,8,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HEALTH_CARE_SERVICE, BANK, SCHOOL, DOCTOR, CLUB_ASSOCIATION, PHARMACY, PARK_RECREATION_AREA, GOVERNMENT_OFFICE, HOTEL_MOTEL, COLLEGE_UNIVERSITY, PLACE_OF_WORSHIP, HOSPITAL_POLYCLINIC, REPAIR_FACILITY, RESTAURANT, CAFE_PUB, GEOGRAPHIC_FEATURE, AUTOMOTIVE_DEALER, SHOP, PETROL_STATION",19,19
"Rajarhat, Kolkata, West Bengal",22.5655734,88.3702152,100,100,3,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,3,15,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,1,0,0,0,0,1,2,0,0,0,0,34,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"INDUSTRIAL_BUILDING, POST_OFFICE, HEALTH_CARE_SERVICE, BANK, SHOPPING_CENTER, SCHOOL, COMPANY, PHARMACY, EXCHANGE, MARKET, GOVERNMENT_OFFICE, HOTEL_MOTEL, RAILWAY_STATION, COLLEGE_UNIVERSITY, RENT_A_CAR_FACILITY, PLACE_OF_WORSHIP, COMMERCIAL_BUILDING, CINEMA, HOSPITAL_POLYCLINIC, RESTAURANT, CAFE_PUB, SHOP, ACCESS_GATEWAY",23,23
"Ballygunge, Kolkata, West Bengal",22.5279746,88.3629966,100,100,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,1,0,8,0,0,5,0,3,0,1,0,0,1,2,0,0,0,0,0,0,3,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,21,4,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POST_OFFICE, BANK, SCHOOL, COMPANY, DOCTOR, PHARMACY, EXCHANGE, NIGHTLIFE, EMBASSY, GOVERNMENT_OFFICE, HOTEL_MOTEL, PUBLIC_AMENITY, COLLEGE_UNIVERSITY, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, COMMERCIAL_BUILDING, EXHIBITION_CONVENTION_CENTER, HOSPITAL_POLYCLINIC, RESTAURANT, AUTOMOTIVE_DEALER, DENTIST, SHOP",22,22
"Vaishali Nagar, Jaipur, Rajasthan",26.9060132,75.7407346,100,100,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,0,0,0,47,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GEOGRAPHIC_FEATURE, RESTAURANT, REPAIR_FACILITY, BANK, SPORTS_CENTER, AUTOMOTIVE_DEALER, SHOP, HOTEL_MOTEL, COMPANY",9,9
"Malviya Nagar, Jaipur, Rajasthan",26.8554493,75.8203746,100,100,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,7,5,0,0,0,1,0,0,0,0,0,0,1,0,1,11,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NIGHTLIFE, GEOGRAPHIC_FEATURE, RESTAURANT, REPAIR_FACILITY, BANK, RESIDENTIAL_ACCOMMODATION, PARK_RECREATION_AREA, PLACE_OF_WORSHIP, DENTIST, PRIMARY_RESOURCE_UTILITY, SHOP, MUSEUM, GOVERNMENT_OFFICE, HOTEL_MOTEL, COMPANY, DOCTOR, HOSPITAL_POLYCLINIC, PHARMACY",18,18
"C Scheme, Jaipur, Rajasthan",26.9842393,75.761852,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GEOGRAPHIC_FEATURE, RESTAURANT, REPAIR_FACILITY, PARK_RECREATION_AREA, PLACE_OF_WORSHIP, SPORTS_CENTER, SCHOOL, DENTIST, SHOP, COMMERCIAL_BUILDING, GOVERNMENT_OFFICE, COMPANY, PHARMACY",13,13
"Satellite, Ahmedabad, Gujarat",23.0251898,72.5246919,100,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,7,6,0,0,0,1,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REPAIR_FACILITY, RESTAURANT, GEOGRAPHIC_FEATURE, BANK, RESIDENTIAL_ACCOMMODATION, SHOPPING_CENTER, SCHOOL, PRIMARY_RESOURCE_UTILITY, SHOP, COMMERCIAL_BUILDING, HOTEL_MOTEL, COMPANY, DOCTOR",13,13
"Bodakdev, Ahmedabad, Gujarat",23.0443645,72.517923,100,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,2,0,26,4,0,0,0,2,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GEOGRAPHIC_FEATURE, RESTAURANT, CAFE_PUB, REPAIR_FACILITY, RESIDENTIAL_ACCOMMODATION, NON_GOVERNMENTAL_ORGANIZATION, PLACE_OF_WORSHIP, SCHOOL, SPORTS_CENTER, PRIMARY_RESOURCE_UTILITY, SHOP, COMMERCIAL_BUILDING, GOVERNMENT_OFFICE, HOTEL_MOTEL, DOCTOR, COMPANY, CLUB_ASSOCIATION, PHARMACY",18,18
"Navrangpura, Ahmedabad, Gujarat",23.0374547,72.5639835,100,100,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,22,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,11,0,0,0,2,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RESTAURANT, BANK, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SPORTS_CENTER, ELECTRIC_VEHICLE_STATION, SCHOOL, AUTOMOTIVE_DEALER, DENTIST, COMMERCIAL_BUILDING, SHOP, GOVERNMENT_OFFICE, MEDIA_FACILITY, COMPANY, DOCTOR, HOTEL_MOTEL, HOSPITAL_POLYCLINIC, EXHIBITION_CONVENTION_CENTER",18,18
"Maninagar, Ahmedabad, Gujarat",22.9832788,72.6140353,100,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,1,0,0,1,0,0,0,0,2,0,15,4,0,0,0,12,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POST_OFFICE, BANK, SCHOOL, DOCTOR, COMPANY, IMPORTANT_TOURIST_ATTRACTION, PHARMACY, GOVERNMENT_OFFICE, PUBLIC_AMENITY, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, COMMERCIAL_BUILDING, HOSPITAL_POLYCLINIC, GEOGRAPHIC_FEATURE, REPAIR_FACILITY, RESTAURANT, AUTOMOTIVE_DEALER, DENTIST, SHOP, OPEN_PARKING_AREA",20,20
"Paldi, Ahmedabad, Gujarat",23.0129278,72.5557872,100,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,84,1,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RESTAURANT, BANK, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SPORTS_CENTER, SHOP, HOTEL_MOTEL, DOCTOR, EXHIBITION_CONVENTION_CENTER, PHARMACY",10,10
"Ernakulam, Kochi, Kerala",9.7511807,76.318561,73,73,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,1,0,0,0,0,0,0,0,9,0,0,4,0,0,0,4,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"INDUSTRIAL_BUILDING, POST_OFFICE, BANK, SCHOOL, COMPANY, DOCTOR, PHARMACY, THEATER, GOVERNMENT_OFFICE, COLLEGE_UNIVERSITY, PLACE_OF_WORSHIP, COMMERCIAL_BUILDING, EXHIBITION_CONVENTION_CENTER, REPAIR_FACILITY, RESTAURANT, ELECTRIC_VEHICLE_STATION, AUTOMOTIVE_DEALER, DENTIST, SHOP, PETROL_STATION",20,20
"Kakkanad, Kochi, Kerala",9.9576168,76.2511512,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"RESTAURANT, SHOPPING_CENTER, PLACE_OF_WORSHIP, SCHOOL, SHOP, WELFARE_ORGANIZATION, COMPANY, IMPORTANT_TOURIST_ATTRACTION, HOSPITAL_POLYCLINIC, PHARMACY, COLLEGE_UNIVERSITY",11,11
"Edappally, Kochi, Kerala",10.0566394,76.291473,100,100,0,0,0,0,0,0,7,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,7,1,0,0,0,0,0,0,0,0,0,7,0,2,7,0,0,0,3,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"INDUSTRIAL_BUILDING, BANK, SCHOOL, DOCTOR, COMPANY, PHARMACY, MARKET, GOVERNMENT_OFFICE, HOTEL_MOTEL, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SPORTS_CENTER, COMMERCIAL_BUILDING, HOSPITAL_POLYCLINIC, REPAIR_FACILITY, RESTAURANT, CAFE_PUB, AUTOMOTIVE_DEALER, SHOP, OPEN_PARKING_AREA, PETROL_STATION, POLICE_STATION",22,22
"Palarivattom, Kochi, Kerala",9.9576168,76.2511512,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"RESTAURANT, SHOPPING_CENTER, PLACE_OF_WORSHIP, SCHOOL, SHOP, WELFARE_ORGANIZATION, COMPANY, IMPORTANT_TOURIST_ATTRACTION, HOSPITAL_POLYCLINIC, PHARMACY, COLLEGE_UNIVERSITY",11,11
"Kadavanthra, Kochi, Kerala",9.9576168,76.2511512,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"RESTAURANT, SHOPPING_CENTER, PLACE_OF_WORSHIP, SCHOOL, SHOP, WELFARE_ORGANIZATION, COMPANY, IMPORTANT_TOURIST_ATTRACTION, HOSPITAL_POLYCLINIC, PHARMACY, COLLEGE_UNIVERSITY",11,11
"Thiruvananthapuram City, Kerala",8.4946496,76.9449992,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,18,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,39,2,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REPAIR_FACILITY, RESTAURANT, GEOGRAPHIC_FEATURE, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SCHOOL, DENTIST, SHOP, COMMERCIAL_BUILDING, GOVERNMENT_OFFICE, HOTEL_MOTEL, COMPANY, ENTERTAINMENT, EXHIBITION_CONVENTION_CENTER, PHARMACY, COLLEGE_UNIVERSITY",16,16
"Kozhikode City, Kerala",11.2341272,75.795501,100,100,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,1,0,0,1,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,4,0,9,1,0,0,0,12,29,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"TOURIST_INFORMATION_OFFICE, INDUSTRIAL_BUILDING, BANK, SHOPPING_CENTER, SCHOOL, COMPANY, DOCTOR, IMPORTANT_TOURIST_ATTRACTION, PHARMACY, GOVERNMENT_OFFICE, HOTEL_MOTEL, COLLEGE_UNIVERSITY, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SPORTS_CENTER, CINEMA, COMMERCIAL_BUILDING, HOSPITAL_POLYCLINIC, GEOGRAPHIC_FEATURE, REPAIR_FACILITY, CAFE_PUB, RESTAURANT, AUTOMOTIVE_DEALER, SHOP",24,24
"Thrissur City, Kerala",10.5239038,76.2122541,100,100,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,2,4,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,3,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"INDUSTRIAL_BUILDING, RESTAURANT, CAFE_PUB, BANK, RESIDENTIAL_ACCOMMODATION, SHOPPING_CENTER, SCHOOL, COMMERCIAL_BUILDING, SHOP, GOVERNMENT_OFFICE, HOTEL_MOTEL, COMPANY, DOCTOR, IMPORTANT_TOURIST_ATTRACTION, COLLEGE_UNIVERSITY",15,15
"Kottayam Town, Kerala",9.591754,76.5319074,100,100,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"INDUSTRIAL_BUILDING, GEOGRAPHIC_FEATURE, RESTAURANT, HEALTH_CARE_SERVICE, BANK, PARK_RECREATION_AREA, PLACE_OF_WORSHIP, SCHOOL, SHOP, COMMERCIAL_BUILDING, HOTEL_MOTEL, COMPANY, RENT_A_CAR_FACILITY, COLLEGE_UNIVERSITY, EXCHANGE",15,15
"Vijayawada City, Andhra Pradesh",16.5003355,80.6447439,100,100,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,3,6,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,3,10,0,0,0,9,27,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BANK, PARKING_GARAGE, SHOPPING_CENTER, SCHOOL, COMPANY, EXCHANGE, GOVERNMENT_OFFICE, HOTEL_MOTEL, PUBLIC_AMENITY, COLLEGE_UNIVERSITY, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SPORTS_CENTER, COMMERCIAL_BUILDING, HOSPITAL_POLYCLINIC, REPAIR_FACILITY, CAFE_PUB, RESTAURANT, AUTOMOTIVE_DEALER, SHOP",20,20
