location_name,latitude,longitude,ACCESS_GATEWAY,ADMINISTRATIVE_DIVISION,ADVENTURE_SPORTS_VENUE,AGRICULTURE,AIRPORT,AMUSEMENT_PARK,AUTOMOTIVE_DEALER,BANK,BEACH,BUILDING_POINT,BUSINESS_PARK,CAFE_PUB,CAMPING_GROUND,CAR_WASH,CASH_DISPENSER,CASINO,CINEMA,CITY_CENTER,CLUB_ASSOCIATION,COLLEGE_UNIVERSITY,COMMERCIAL_BUILDING,COMMUNITY_CENTER,COMPANY,COURTHOUSE,CULTURAL_CENTER,DENTIST,DEPARTMENT_STORE,DOCTOR,ELECTRIC_VEHICLE_STATION,EMBASSY,EMERGENCY_MEDICAL_SERVICE,ENTERTAINMENT,EXCHANGE,EXHIBITION_CONVENTION_CENTER,FERRY_TERMINAL,FIRE_STATION_BRIGADE,FRONTIER_CROSSING,FUEL_FACILITIES,GEOGRAPHIC_FEATURE,GOLF_COURSE,GOVERNMENT_OFFICE,HEALTH_CARE_SERVICE,HELIPAD_HELICOPTER_LANDING,HOLIDAY_RENTAL,HOSPITAL_POLYCLINIC,HOTEL_MOTEL,ICE_SKATING_RINK,IMPORTANT_TOURIST_ATTRACTION,INDUSTRIAL_BUILDING,LEISURE_CENTER,LIBRARY,MANUFACTURING_FACILITY,MARINA,MARKET,MEDIA_FACILITY,MILITARY_INSTALLATION,MOTORING_ORGANIZATION_OFFICE,MOUNTAIN_PASS,MUSEUM,NATIVE_RESERVATION,NIGHTLIFE,NON_GOVERNMENTAL_ORGANIZATION,OPEN_PARKING_AREA,OTHER,PARKING_GARAGE,PARK_RECREATION_AREA,PETROL_STATION,PHARMACY,PLACE_OF_WORSHIP,POLICE_STATION,PORT_WAREHOUSE_FACILITY,POST_OFFICE,PRIMARY_RESOURCE_UTILITY,PRISON_CORRECTIONAL_FACILITY,PUBLIC_AMENITY,PUBLIC_TRANSPORT_STOP,RAILWAY_STATION,RENT_A_CAR_FACILITY,RENT_A_CAR_PARKING,REPAIR_FACILITY,RESEARCH_FACILITY,RESIDENTIAL_ACCOMMODATION,RESTAURANT,RESTAURANT_AREA,REST_AREA,SCENIC_PANORAMIC_VIEW,SCHOOL,SHOP,SHOPPING_CENTER,SPORTS_CENTER,STADIUM,SWIMMING_POOL,TENNIS_COURT,THEATER,TOURIST_INFORMATION_OFFICE,TRAFFIC_LIGHT,TRAFFIC_SERVICE_CENTER,TRAFFIC_SIGN,TRAIL_SYSTEM,TRANSPORT_AUTHORITY_VEHICLE_REGISTRATION,TRUCK_STOP,VETERINARIAN,WATER_SPORT,WEIGH_STATION,WELFARE_ORGANIZATION,WINERY,ZOOS_ARBORETA_BOTANICAL_GARDEN,high_severity_hours,total_hours,total_pois,high_severity_ratio
"Agartala City, Tripura",23.8338203,91.2824216,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,1,2,0,0,1,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,100,0.5
"Aizawl City, Mizoram",23.7243713,92.7186455,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,100,0.6875
"Ajmer City, Rajasthan",26.5855952,74.8609106,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,3,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,0,0,2,0,0,0,0,0,0,0,13,0,1,2,0,0,0,22,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,100,0.4375
"Alappuzha Town, Kerala",9.2595192,76.5437808,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,1,0,0,1,4,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,7,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,100,0.6875
"Aliganj, Lucknow, Uttar Pradesh",26.890281,80.9495987,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,0,0,0,0,0,0,13,4,0,0,0,3,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,100,0.75
"Aligarh City, Uttar Pradesh",27.8898926,78.0745239,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,2,4,1,0,1,1,0,2,0,1,0,0,13,0,0,10,0,0,0,2,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,100,0.5
"Amritsar City, Punjab",31.6587342,74.841167,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,67,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,100,0.0
"Andheri West, Mumbai, Maharashtra",19.1340729,72.8303618,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,9,0,3,2,0,0,0,1,63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,16,100,0.6875
"Asansol City, West Bengal",23.6930343,86.9531088,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,1,0,6,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,8,5,0,0,0,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,100,0.625
"Aundh, Pune, Maharashtra",18.558127,73.8072801,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0,2,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,100,0.5625
"Ballygunge, Kolkata, West Bengal",22.5279746,88.3629966,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,1,0,8,0,0,5,0,3,0,1,0,0,1,2,0,0,0,0,0,0,3,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,21,4,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,100,0.6875
"Bandra West, Mumbai, Maharashtra",19.0588335,72.8346685,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,0,5,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,1,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,100,0.1875
"Baner, Pune, Maharashtra",18.5642156,73.7871973,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,24,31,0,0,0,4,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,100,0.125
"Banjara Hills, Hyderabad, Telangana",17.4091038,78.4394666,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,1,0,19,13,0,0,0,4,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,100,0.5625
"Bathinda City, Punjab",30.2129218,74.9331732,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,14,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,100,0.75
"Begumpet, Hyderabad, Telangana",17.4449415,78.4571867,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,35,3,0,0,0,6,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,100,0.75
"Belgaum City, Karnataka",15.8771478,74.5171905,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,6,24,0,0,0,8,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,100,0.3125
"Bellary City, Karnataka",15.1388817,76.9768644,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,39,0.0625
"Berhampur City, Odisha",20.4032641,86.2026906,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0.0
"Bhavnagar City, Gujarat",21.7727986,72.1548699,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,15,3,0,0,0,5,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,100,0.0
"Bhopal City, Madhya Pradesh",23.177649,77.454497,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,8,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,0,0,0,2,0,0,0,0,0,0,0,0,11,11,0,0,0,1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,100,0.1875
"Bibwewadi, Pune, Maharashtra",18.4662107,73.8627802,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,60,1,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,100,0.3125
"Bikaner City, Rajasthan",28.0134638,73.2972264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,27,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,13,41,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,100,0.75
"Bodakdev, Ahmedabad, Gujarat",23.0443645,72.517923,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,2,0,26,4,0,0,0,2,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,100,0.75
"Borivali West, Mumbai, Maharashtra",19.2297,72.852173,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,1,0,5,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,21,2,0,0,0,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,100,0.5625
"C Scheme, Jaipur, Rajasthan",26.9842393,75.761852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,100,0.0
"CG Road, Ahmedabad, Gujarat",23.1083596,72.5869112,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,0,8,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,100,0.375
"Chembur, Mumbai, Maharashtra",19.0487802,72.90587,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,3,0,18,17,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,100,0.5625
"Civil Lines, Jaipur, Rajasthan",26.9069197,75.7830344,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,7,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,21,4,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,100,0.6875
"Coimbatore City, Tamil Nadu",11.0804508,76.8366161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0.0
"Colaba, Mumbai, Maharashtra",18.9249319,72.8300808,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,6,0,8,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,3,1,0,0,2,4,0,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,12,8,0,0,0,6,21,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,16,100,0.6875
"Dadar, Mumbai, Maharashtra",19.0177484,72.8358202,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,31,12,0,0,0,2,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,100,0.8125
"Davangere City, Karnataka",14.3682977,75.9527929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0.0
"Dehradun City, Uttarakhand",30.118491,78.294956,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,84,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,16,100,0.375
"Dhanbad City, Jharkhand",23.7940427,86.4261706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,100,0.1875
"Dombivli East, Thane, Maharashtra",19.2157323,73.1031728,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,22,0,0,25,0,0,0,0,16,0,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,16,100,0.125
"Durgapur City, West Bengal",23.5292384,87.351587,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,9,0,0,0,1,0,0,0,0,0,0,1,0,42,2,0,0,0,2,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,100,0.0625
"Dwarka Sector 12, New Delhi",28.5969098,77.0419895,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,15,0,0,0,3,46,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,100,0.5625
"Edappally, Kochi, Kerala",10.0566394,76.291473,0,0,0,0,0,0,7,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,7,1,0,0,0,0,0,0,0,0,0,7,0,2,7,0,0,0,3,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,100,0.25
"Electronic City, Bangalore, Karnataka",12.8478071,77.6631929,0,0,0,0,0,0,0,4,0,0,1,6,0,0,0,0,0,0,0,1,1,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,3,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,100,0.125
"Ernakulam, Kochi, Kerala",9.7511807,76.318561,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,1,0,0,0,0,0,0,0,9,0,0,4,0,0,0,4,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,73,0.5625
"Faridabad City, Haryana",28.4841588,77.3257282,0,0,0,0,0,0,2,2,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,1,0,0,0,0,0,0,0,1,0,6,14,0,0,0,13,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,100,0.4375
"Fort, Mumbai, Maharashtra",18.9459596,72.8337847,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,5,1,0,0,0,10,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,100,0.75
"Frazer Town, Bangalore, Karnataka",13.0022108,77.621035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,58,7,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,100,0.8125
"Gandhinagar City, Gujarat",23.0704348,72.5243009,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,3,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,13,0,6,8,0,0,0,1,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,100,0.125
